RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;PVV (Partij voor de Vrijheid);Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GL;Socialistische Partij (SOPA);CU_SGP;Partij voor de Dieren;Europese Klokkenluiders Partij;Newropeans;Libertas;Liberaal Democratische Partij;De Groenen;Solidara;Europa Voordelig! & Duurzaam;Partij voor Europese Politiek
Schagen;G0441;10511;Den Helder;K11;14666;5202;7;9;5186;799;893;814;842;567;464;385;90;216;40;15;20;10;15;6;9;1
Scheemda;G0039;10711;Groningen;K1;11180;3675;8;7;3660;734;547;759;307;209;292;368;246;141;14;7;16;6;4;4;3;3
Schermer;G0458;10308;Den Helder;K11;3991;1849;2;3;1844;440;278;239;338;181;120;110;17;67;18;15;5;4;4;5;2;1
Scherpenzeel;G0279;11146;Arnhem;K7;6811;3252;7;1;3244;746;459;203;361;146;86;82;1079;48;17;7;4;2;1;0;2;1
Schiedam;G0606;11260;Dordrecht;K14;55452;16763;59;63;16641;2175;4435;2551;1485;1634;1232;1450;548;769;86;66;61;34;21;48;16;30
Schiermonnikoog;G0088;10355;Leeuwarden;K2;752;438;1;0;437;86;36;80;72;59;48;16;16;20;2;0;0;1;1;0;0;0
Schijndel;G0844;11178;'s-Hertogenbosch;K18;17714;5321;14;10;5297;1651;851;606;557;409;325;619;18;146;35;20;21;15;6;2;8;8
Schinnen;G0962;10132;Maastricht;K19;10550;4257;2;10;4245;1530;1001;420;266;275;235;268;37;143;23;9;9;8;11;6;2;2
Schoonhoven;G0608;10980;Leiden;K15;9107;3820;10;12;3798;778;658;370;446;388;303;236;408;148;15;15;12;9;5;5;2;0
Schouwen-Duiveland;G1676;10843;Middelburg;K16;26834;11311;16;33;11262;2186;2008;1116;1564;853;560;510;1892;403;54;32;37;15;11;11;6;4
Sevenum;G0964;10045;Maastricht;K19;5890;2004;1;11;1992;923;269;149;181;129;93;160;11;42;9;10;7;3;3;1;1;1
's-Gravenhage;G0518;11434;'s-Gravenhage;K12;300937;112925;340;351;112234;12419;22397;13839;14817;19036;11332;6969;2833;5698;469;534;487;376;263;610;99;56
's-Hertogenbosch;G0796;10054;'s-Hertogenbosch;K18;106213;36756;87;117;36552;6343;6350;4161;4255;5139;4274;3470;374;1236;160;346;146;90;72;55;67;14
Simpelveld;G0965;10515;Maastricht;K19;8656;3020;2;7;3011;1129;746;405;135;129;113;163;25;120;15;9;7;5;2;4;4;0
Sint Anthonis;G1702;11415;'s-Hertogenbosch;K18;8892;3927;5;9;3913;2022;453;263;365;207;186;265;14;66;16;28;8;4;9;2;2;3
Sint-Michielsgestel;G0845;10496;'s-Hertogenbosch;K18;21489;6927;14;14;6899;2057;1066;753;848;762;476;569;59;148;25;56;36;10;9;1;18;6
Sint-Oedenrode;G0846;10399;'s-Hertogenbosch;K18;13333;4392;6;11;4375;1659;537;415;552;371;246;422;24;78;10;13;24;6;8;1;7;2
Sittard-Geleen;G1883;11230;Maastricht;K19;75117;24612;38;46;24528;7381;5951;2581;1712;1634;1894;1775;218;954;112;95;69;48;46;33;12;13
Skarsterlân;G0051;10022;Leeuwarden;K2;20675;8003;14;15;7974;2622;944;1475;770;548;472;493;326;195;77;15;9;6;4;8;7;3
Sliedrecht;G0610;11331;Dordrecht;K14;18210;7251;13;9;7229;1077;1113;664;520;314;231;498;2537;200;21;10;23;10;1;4;6;0
Slochteren;G0040;10747;Groningen;K1;11953;4275;3;9;4263;800;531;756;409;287;315;289;664;148;12;15;15;10;3;6;2;1
Sluis;G1714;10895;Middelburg;K16;18636;6399;7;9;6383;1570;1256;712;950;511;372;432;214;247;44;27;21;2;14;3;6;2
Smallingerland;G0090;10405;Leeuwarden;K2;42348;15908;42;27;15839;3810;1723;3073;1136;1159;1034;1225;2085;411;56;36;30;18;20;7;7;9
Sneek;G0091;11421;Leeuwarden;K2;25557;8951;13;19;8919;2101;1134;1717;882;857;664;722;424;277;61;15;21;9;14;7;7;7
Soest;G0342;11021;Utrecht;K8;34532;15029;30;35;14964;2526;2895;1364;2360;2143;1200;727;916;526;72;61;68;33;27;22;17;7
Someren;G0847;10203;'s-Hertogenbosch;K18;13939;4564;11;14;4539;1339;699;287;1429;215;180;208;36;89;28;3;5;5;5;2;6;3
Son en Breugel;G0848;10549;'s-Hertogenbosch;K18;11659;4640;11;13;4616;1199;688;364;853;616;301;286;56;156;21;21;26;9;8;5;5;2
Spijkenisse;G0612;10735;Dordrecht;K14;56181;15646;37;38;15571;1830;4916;2083;1438;1222;931;1452;641;741;89;46;56;40;24;24;20;18
Stadskanaal;G0037;10610;Groningen;K1;26099;8132;13;17;8102;2263;1324;1387;536;311;283;565;1116;206;41;22;14;8;6;11;5;4
Staphorst;G0180;11362;Zwolle;K4;11143;5498;5;10;5483;943;579;222;293;116;97;74;3071;56;10;5;3;2;5;3;2;2
Stede Broec;G0532;11337;Den Helder;K11;16027;5119;7;9;5103;1026;1201;584;662;443;375;379;110;209;36;21;21;12;5;4;10;5
Steenbergen;G0851;10731;Tilburg;K17;18161;5354;11;10;5333;1291;1363;508;740;365;232;337;208;199;39;13;5;11;9;3;8;2
Steenwijkerland;G1708;10546;Zwolle;K4;33302;12856;15;20;12821;3480;1849;1782;1446;879;748;764;1247;403;65;49;26;28;24;11;15;5
Stein;G0971;11319;Maastricht;K19;20741;6918;14;11;6893;1987;2036;1010;389;340;331;451;52;195;27;23;29;15;2;4;1;1
Strijen;G0617;10558;Dordrecht;K14;6990;2728;5;4;2719;604;560;274;330;193;160;129;331;106;9;5;1;4;2;2;6;3
Ten Boer;G0009;10891;Groningen;K1;5537;2452;4;7;2441;562;232;407;142;177;234;169;423;72;6;7;3;0;3;1;2;1
Terneuzen;G0715;10704;Middelburg;K16;41924;13448;21;17;13410;2779;2862;1568;1269;1019;658;800;1765;422;74;61;42;29;23;6;19;14
Terschelling;G0093;11210;Leeuwarden;K2;3860;1809;2;3;1804;303;276;298;315;162;187;132;38;55;13;7;7;5;3;1;1;1
Texel;G0448;10237;Den Helder;K11;10471;4821;11;16;4794;1058;714;618;608;463;541;375;129;174;38;19;26;9;5;5;10;2
Teylingen;G1525;10017;Leiden;K15;26290;11055;12;23;11020;2692;1795;951;2034;1466;767;522;240;325;54;43;48;30;20;13;15;5
Tholen;G0716;10376;Middelburg;K16;18672;6877;18;1;6858;1075;1127;559;533;199;297;355;2427;213;27;11;14;6;3;3;9;0
Tiel;G0281;10027;Nijmegen;K6;30012;9115;15;20;9080;1337;2026;1355;1196;918;746;674;346;295;49;33;32;18;9;29;13;4
