RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GPV/RPF/SGP;GROENLINKS;De Groenen;SP (Socialistische Partij);Centrumdemocraten;Een Betere Toekomst;Lijst de Groen
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;45094;14377;12;;14365;2595;3115;3083;1906;2631;329;258;152;214;57;25
Castricum;G0383;11287;Noord-Holland;P27;17852;8087;31;;8056;2134;1931;1954;1140;104;421;235;42;70;16;9
Chaam;G0760;11433;Noord-Brabant;P30;2889;1120;5;;1115;495;193;253;110;1;15;20;12;11;5;
Coevorden;G0109;10383;Drenthe;P22;11310;4182;12;;4170;1635;1340;531;368;115;59;59;25;17;17;4
Cothen;G0314;11316;Utrecht;P26;1946;709;6;;703;323;111;111;76;43;12;17;5;5;;
Cromstrijen;G0611;11346;Zuid-Holland;P28;9539;3545;5;;3540;747;835;845;432;498;59;52;18;41;11;2
Cuijk en Sint Agatha;G0761;10023;Noord-Brabant;P30;16833;5862;25;;5837;2648;1220;792;748;25;157;108;60;56;20;3
Culemborg;G0216;10342;Gelderland;P25;16575;5741;8;;5733;1508;1456;1013;774;227;246;149;207;128;11;14
Dalen;G0110;11004;Drenthe;P22;4339;1839;8;;1831;402;540;632;163;22;21;27;12;8;1;3
Dalfsen;G0148;11007;Overijssel;P23;11744;5943;9;;5934;2820;721;726;407;1017;53;146;11;22;3;8
Dantumadeel;G0065;10650;Fryslân;P21;14342;5482;4;;5478;2167;1170;342;284;1247;63;142;35;15;4;9
De Bilt;G0310;10168;Utrecht;P26;25925;12707;31;;12676;2733;2410;3790;1847;776;605;330;81;69;16;19
De Lier;G0552;10241;Zuid-Holland;P28;7624;3095;4;;3091;1613;251;757;174;188;25;37;3;34;9;
De Marne;G1663;10180;Groningen;P20;8458;3966;6;;3960;1056;1059;522;204;649;134;290;24;14;6;2
De Ronde Venen;G0736;11379;Utrecht;P26;24668;9671;20;;9651;3321;1281;2534;1043;950;208;148;48;80;31;7
De Wijk;G0135;10753;Drenthe;P22;3897;1686;5;;1681;444;422;515;161;51;31;33;10;9;5;
Delft;G0503;10928;Zuid-Holland;P28;72011;26826;129;;26697;5948;6947;4591;4314;1287;2025;718;410;267;155;35
Delfzijl;G0010;10976;Groningen;P20;23770;7394;5;;7389;1960;2585;1016;652;503;183;306;90;67;17;10
Den Dungen;G0768;10491;Noord-Brabant;P30;3266;1112;3;;1109;552;263;105;115;12;15;8;21;11;6;1
Den Ham;G0159;10395;Overijssel;P23;10834;4557;15;;4542;2631;583;279;137;811;36;25;8;8;7;17
Den Helder;G0400;10285;Noord-Holland;P27;46682;12743;58;;12685;3135;3223;3108;1501;873;327;209;81;172;38;18
Denekamp;G0149;10245;Overijssel;P23;9410;4033;15;;4018;2773;458;354;231;32;37;46;20;15;4;48
Deurne;G0762;10379;Noord-Brabant;P30;22776;6632;8;;6624;3479;1110;908;689;31;171;88;52;60;14;22
Deventer;G0150;10899;Overijssel;P23;51964;17500;34;;17466;3510;5950;2971;2421;495;1027;626;234;145;29;58
Didam;G0218;10153;Gelderland;P25;12641;4160;16;;4144;2112;922;496;398;13;81;43;17;37;18;7
Diemen;G0384;11039;Noord-Holland;P27;17006;6038;26;;6012;1081;1726;1531;874;85;377;165;53;95;20;5
Diepenheim;G0151;10311;Overijssel;P23;2154;1035;0;;1035;235;330;276;111;13;20;23;5;5;4;13
Diepenveen;G0152;10933;Overijssel;P23;8301;4039;9;;4030;1670;716;909;458;63;64;111;9;13;4;13
Diessen;G0763;11185;Noord-Brabant;P30;3073;1175;0;;1175;749;138;152;70;5;26;12;13;8;;2
Diever;G0111;10418;Drenthe;P22;2831;1500;5;;1495;374;476;370;146;44;31;44;3;5;;2
Dinteloord en Prinsenland;G0764;11193;Noord-Brabant;P30;4399;1422;0;;1422;465;276;267;94;248;10;42;5;15;;
Dinxperlo;G0219;11154;Gelderland;P25;6416;2427;10;;2417;1328;456;294;144;93;19;50;13;14;3;3
Dirksland;G0504;11344;Zuid-Holland;P28;5717;2414;8;;2406;389;407;332;146;1038;31;19;15;27;2;
Dodewaard;G0220;10647;Gelderland;P25;2700;1075;5;;1070;239;310;167;100;193;24;16;3;10;5;3
Doesburg;G0221;10327;Gelderland;P25;7914;2695;8;;2687;731;801;394;323;104;71;42;187;17;4;13
Doetinchem;G0222;10396;Gelderland;P25;33240;12295;29;;12266;4172;3333;1883;1348;529;508;240;114;94;18;27
Domburg;G0660;10236;Zeeland;P29;3047;1547;4;;1543;415;244;318;126;363;26;28;13;8;2;
Dongen;G0766;11412;Noord-Brabant;P30;16304;5257;12;;5245;2108;1011;752;724;51;98;65;368;51;8;9
Dongeradeel;G0058;10198;Fryslân;P21;17996;7386;13;;7373;4004;1241;553;465;766;77;183;37;30;8;9
Doorn;G0315;10213;Utrecht;P26;8290;3670;9;;3661;937;549;1156;462;328;117;61;12;26;8;5
Dordrecht;G0505;11157;Zuid-Holland;P28;84147;25093;55;;25038;5535;6834;4352;3317;2805;910;463;263;481;48;30
Drechterland;G0498;10642;Noord-Holland;P27;6468;2423;1;;2422;926;497;479;297;41;63;83;10;16;7;3
Driebergen-Rijsenburg;G0316;10777;Utrecht;P26;14110;6481;17;;6464;1698;1051;1557;828;688;292;252;35;36;13;14
Dronten;G0303;10210;Flevoland;P24;20519;8750;14;;8736;2920;1348;1833;803;1007;140;502;65;87;23;8
Drunen;G0767;10428;Noord-Brabant;P30;13520;4599;13;;4586;1983;894;809;569;45;63;49;92;64;17;1
Druten;G0225;10068;Gelderland;P25;11562;3491;6;;3485;1471;921;496;392;16;79;34;29;30;13;4
