RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;GL;SGP_GPV_RPF;Democraten 66 (D66);SP (Socialistische Partij);De Europese Partij;Conservatieve Democraten;Europees Verkiezers Platform Nederland;Lijst Sala
Onderbanken;G0881;10492;Limburg;P31;6498;1794;;24;1770;1025;244;179;127;8;44;90;8;32;12;1
Oostburg;G0692;10782;Zeeland;P29;13617;3761;;10;3751;926;853;868;284;206;448;89;7;20;41;9
Oosterhout;G0826;11280;Noord-Brabant;P30;39138;10347;;24;10323;3056;2228;2438;1106;134;687;467;92;45;45;25
Oostflakkee;G0580;10714;Zuid-Holland;P28;7779;2483;;10;2473;609;607;307;137;677;52;49;12;10;5;8
Ooststellingwerf;G0085;10836;Fryslân;P21;19605;6980;;32;6948;1951;2107;1185;705;420;234;250;49;26;10;11
Oostzaan;G0431;11303;Noord-Holland;P27;6801;1853;;5;1848;186;483;605;233;98;117;68;16;18;9;15
Ootmarsum;G0176;11079;Overijssel;P23;3482;1380;;13;1367;785;165;243;96;5;29;25;7;5;4;3
Opmeer;G0432;10609;Noord-Holland;P27;8027;2347;;6;2341;832;453;571;229;36;103;63;21;7;11;15
Opsterland;G0086;10005;Fryslân;P21;21428;7628;;17;7611;1941;2152;1185;781;899;296;292;43;12;4;6
Oss;G0828;10834;Noord-Brabant;P30;49094;13873;;39;13834;4096;2254;2586;1030;92;634;2888;95;95;42;22
Oud-Beijerland;G0584;11301;Zuid-Holland;P28;16673;5144;;15;5129;891;866;985;579;1273;268;180;37;25;15;10
Ouder-Amstel;G0437;10998;Noord-Holland;P27;9656;3342;;12;3330;683;655;970;436;116;284;79;26;14;15;52
Ouderkerk;G0644;10095;Zuid-Holland;P28;6096;2348;;12;2336;367;409;440;113;852;76;54;8;12;3;2
Oudewater;G0589;10188;Utrecht;P26;7458;2490;;8;2482;918;353;433;166;433;106;53;6;4;5;5
Papendrecht;G0590;10427;Zuid-Holland;P28;22541;6634;;21;6613;1472;1321;1475;528;1160;358;213;35;24;16;11
Pekela;G0765;10848;Groningen;P20;10415;2766;;8;2758;599;1008;331;398;204;52;126;23;10;1;6
Pijnacker;G0594;10031;Zuid-Holland;P28;15889;5629;;46;5583;1784;758;1280;601;477;410;158;45;40;18;12
Purmerend;G0439;11066;Noord-Holland;P27;51583;11215;;63;11152;1459;3265;2725;1630;256;721;638;121;61;65;211
Putten;G0273;11109;Gelderland;P25;16576;7091;;10;7081;2237;526;1037;318;2631;146;102;34;29;17;4
Raalte;G0177;10279;Overijssel;P23;21059;6988;;13;6975;3920;1052;897;513;76;264;208;25;12;5;3
Ravenstein;G0835;10805;Noord-Brabant;P30;6366;2209;;9;2200;915;395;330;192;7;97;238;14;4;2;6
Reeuwijk;G0595;10485;Zuid-Holland;P28;9623;3563;;4;3559;798;373;988;241;860;194;48;18;25;11;3
Reiderland;G1661;11043;Groningen;P20;5572;1400;;21;1379;132;607;191;143;20;38;206;18;18;3;3
Reimerswaal;G0703;10077;Zeeland;P29;14778;5276;;9;5267;892;622;567;186;2624;168;141;16;19;30;2
Renkum;G0274;11325;Gelderland;P25;25361;10369;;36;10333;2466;1958;2780;1450;425;761;320;97;32;33;11
Renswoude;G0339;10269;Utrecht;P26;2804;945;;4;941;351;54;168;16;300;14;24;1;5;6;2
Reusel-De Mierden;G1667;10162;Noord-Brabant;P30;9075;2280;;8;2272;1244;340;337;131;11;104;75;15;4;5;6
Rheden;G0275;11355;Gelderland;P25;35367;12236;;27;12209;2671;3030;2789;1678;518;794;562;64;41;34;28
Rhenen;G0340;10309;Utrecht;P26;12938;4500;;11;4489;914;725;838;405;1193;234;111;29;16;11;13
Ridderkerk;G0597;10646;Zuid-Holland;P28;36341;10616;;18;10598;2096;2149;1678;689;3058;384;407;54;42;36;5
Rijnsburg;G0602;11118;Zuid-Holland;P28;10425;3468;;9;3459;1430;271;562;146;889;80;50;9;11;9;2
Rijnwaarden;G0196;10819;Gelderland;P25;8370;2077;;9;2068;770;560;336;184;25;86;83;8;11;1;4
Rijnwoude;G1672;11257;Zuid-Holland;P28;14321;4909;;19;4890;1421;687;1031;419;852;284;131;24;10;18;13
Rijssen;G0178;10358;Overijssel;P23;18258;8634;;11;8623;1567;656;433;181;5564;65;120;12;9;8;8
Rijswijk;G0603;11133;Zuid-Holland;P28;40501;12174;;201;11973;2671;2223;3266;1476;470;870;687;135;76;81;18
Roerdalen;G1669;10196;Limburg;P31;7757;2299;;11;2288;1272;313;396;135;8;65;69;10;7;11;2
Roermond;G0957;11313;Limburg;P31;33376;8833;;77;8756;3858;1307;1554;949;93;385;428;47;62;46;27
Roggel en Neer;G1670;10505;Limburg;P31;6332;1940;;9;1931;1093;236;277;171;8;59;54;9;11;7;6
Roosendaal;G1674;10407;Noord-Brabant;P30;55442;13262;;27;13235;4674;2167;2981;1472;170;828;716;94;82;36;15
Rotterdam;G0599;10345;Zuid-Holland;P28;428662;96005;;1170;94835;15649;25936;17412;12459;5503;7056;7707;1100;1122;698;193
Rozenburg;G0600;11314;Zuid-Holland;P28;10249;2397;;7;2390;575;579;424;218;220;125;175;24;33;7;10
Rozendaal;G0277;10684;Gelderland;P25;1026;561;;0;561;93;51;260;65;15;63;6;3;0;4;1
Rucphen;G0840;11152;Noord-Brabant;P30;17847;3696;;5;3691;1501;785;747;212;25;161;121;23;103;7;6
Ruurlo;G0278;10879;Gelderland;P25;6134;2051;;4;2047;590;466;651;154;32;87;45;10;0;8;4
Sas van Gent;G0704;11405;Zeeland;P29;6186;1493;;9;1484;398;313;248;149;43;269;30;11;8;12;3
Sassenheim;G0604;10612;Zuid-Holland;P28;10902;3681;;23;3658;1198;505;1065;321;95;227;173;27;19;22;6
Schagen;G0441;10511;Noord-Holland;P27;13395;3423;;20;3403;567;890;904;486;82;243;168;24;22;8;9
Scheemda;G0039;10711;Groningen;P20;11129;3850;;39;3811;1057;1302;486;315;302;107;181;22;21;9;9
Schermer;G0458;10308;Noord-Holland;P27;3665;1262;;6;1256;380;263;322;137;18;68;37;15;2;3;11
Scherpenzeel;G0279;11146;Gelderland;P25;6639;2684;;3;2681;594;289;481;123;1054;70;43;7;10;5;5
Schiedam;G0606;11260;Zuid-Holland;P28;55796;13333;;48;13285;2751;3524;2459;1612;589;716;1119;115;176;197;27
Schiermonnikoog;G0088;10355;Fryslân;P21;817;402;;0;402;97;101;93;62;14;20;13;1;0;1;0
Schijndel;G0844;11178;Noord-Brabant;P30;17229;4621;;17;4604;1689;863;748;327;23;150;717;36;29;11;11
Schinnen;G0962;10132;Limburg;P31;10482;3541;;20;3521;1872;451;391;420;21;170;155;10;6;23;2
Schipluiden;G0607;10130;Zuid-Holland;P28;7599;2794;;9;2785;1190;306;637;248;171;147;55;19;4;5;3
Schoonhoven;G0608;10980;Zuid-Holland;P28;8825;3005;;14;2991;689;533;594;337;517;163;104;21;14;7;12
Schoorl;G0444;10627;Noord-Holland;P27;5217;1828;;6;1822;334;396;518;295;20;124;97;12;17;3;6
Schouwen-Duiveland;G1676;10843;Zeeland;P29;25764;9700;;38;9662;2033;1831;2242;718;2031;421;260;47;22;40;17
Sevenum;G0964;10045;Limburg;P31;5510;1607;;7;1600;1004;184;169;99;8;51;75;5;3;0;2
's-Graveland;G0390;10534;Noord-Holland;P27;7211;2448;;22;2426;545;416;662;350;115;177;99;20;13;11;18
's-Gravendeel;G0517;10052;Zuid-Holland;P28;6775;2156;;6;2150;530;496;341;135;464;84;75;5;7;10;3
's-Gravenhage;G0518;11434;Zuid-Holland;P28;320619;79985;720;1054;78211;13068;16058;20490;10605;3103;9516;3782;548;509;349;183
's-Gravenzande;G0519;10640;Zuid-Holland;P28;14080;4207;;37;4170;1644;442;1091;189;559;129;56;25;15;14;6
's-Hertogenbosch;G0796;10054;Noord-Brabant;P30;97446;25542;;65;25477;6867;5140;4848;4055;352;1597;2113;184;153;98;70
Simpelveld;G0965;10515;Limburg;P31;8735;2607;;15;2592;1399;485;261;171;7;77;151;4;17;11;9
Sint Anthonis;G1702;11415;Noord-Brabant;P30;8461;3434;;17;3417;2223;324;342;254;11;91;128;24;10;6;4
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;20948;5931;;28;5903;2317;1096;1084;518;51;300;461;41;19;12;4
Sint-Oedenrode;G0846;10399;Noord-Brabant;P30;12876;4097;;16;4081;1901;732;582;394;18;165;247;21;10;10;1
Sittard;G0968;11230;Limburg;P31;37940;10599;;54;10545;4235;1784;1589;1426;73;640;544;28;53;147;26
Skarsterlân;G0051;10022;Fryslân;P21;19850;6919;;16;6903;2683;1638;1194;564;280;219;220;73;12;12;8
Sliedrecht;G0610;11331;Zuid-Holland;P28;17880;5885;;4;5881;997;1069;696;332;2345;155;217;33;29;5;3
Slochteren;G0040;10747;Groningen;P20;11254;3811;;9;3802;793;934;577;306;806;157;163;41;14;3;8
Sluis-Aardenburg;G1698;11020;Zeeland;P29;4711;1409;;3;1406;466;212;366;82;22;190;30;8;8;21;1
Smallingerland;G0090;10405;Fryslân;P21;39184;13863;;20;13843;4306;3500;1712;1302;1781;449;644;78;49;14;8
Sneek;G0091;11421;Fryslân;P21;23676;6763;;26;6737;2130;1767;1151;668;346;282;302;57;13;13;8
Soest;G0342;11021;Utrecht;P26;33308;11038;;33;11005;2369;1651;3352;1375;894;734;449;69;36;52;24
Someren;G0847;10203;Noord-Brabant;P30;13371;3793;;17;3776;1635;432;1078;294;18;113;162;12;17;5;10
Son en Breugel;G0848;10549;Noord-Brabant;P30;11158;3784;;9;3775;1175;516;1160;404;53;247;167;26;15;6;6
Spijkenisse;G0612;10735;Zuid-Holland;P28;53642;10478;;51;10427;1648;2980;2396;1095;565;634;781;122;88;93;25
Stad Delden;G0179;10913;Overijssel;P23;5768;2329;;14;2315;971;376;524;192;33;116;70;13;4;10;6
Stadskanaal;G0037;10610;Groningen;P20;25714;7316;;20;7296;2611;1703;783;362;1289;177;266;57;26;10;12
Staphorst;G0180;11362;Overijssel;P23;10385;5070;;2;5068;835;358;441;74;3224;78;30;4;12;10;2
Stede Broec;G0532;11337;Noord-Holland;P27;15826;3699;;23;3676;1007;858;780;479;82;215;161;43;22;18;11
Steenbergen;G0851;10731;Noord-Brabant;P30;18036;5231;;5;5226;1034;628;812;205;246;2078;134;24;37;15;13
Steenderen;G0280;10497;Gelderland;P25;3720;1564;;6;1558;756;257;270;125;29;56;57;6;2;0;0
Steenwijk;G0181;10546;Overijssel;P23;17350;6072;;24;6048;1797;1632;1032;477;534;242;256;29;26;10;13
Stein;G0971;11319;Limburg;P31;20743;5255;;19;5236;2726;829;557;501;22;208;270;21;23;69;10
Strijen;G0617;10558;Zuid-Holland;P28;7206;2151;;6;2145;488;422;448;213;370;95;59;18;18;8;6
Susteren;G0974;10457;Limburg;P31;10119;3287;;41;3246;1793;540;353;224;11;151;123;16;17;17;1
