RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);VVD;CDA;Forum voor Democratie;GROENLINKS;Democraten 66 (D66);ChristenUnie/SGP;Partij voor de Dieren;50PLUS;PVV (Partij voor de Vrijheid);SP (Socialistische Partij);Volt Nederland;DENK;vandeRegio & Piratenpartij;De Groenen;JEZUS LEEFT
Best;G0753;10442;'s-Hertogenbosch;K18;22735;8883;10;21;8852;1609;1646;1128;970;627;660;293;247;746;278;323;205;75;15;25;5
Beuningen;G0209;10417;Nijmegen;K6;20542;7949;10;18;7921;1717;1441;973;960;699;594;100;235;458;278;313;114;17;11;8;3
Beverwijk;G0375;10272;Haarlem;K10;30432;10725;20;25;10680;2174;1424;901;1639;1129;666;173;478;570;525;489;213;232;35;16;16
Bladel;G1728;11006;'s-Hertogenbosch;K18;15849;5792;16;9;5767;1016;953;1257;541;338;334;42;166;483;230;273;104;4;11;10;5
Blaricum;G0376;10493;Haarlem;K10;8489;4310;7;3;4300;743;1286;418;553;239;341;92;152;158;98;74;118;7;11;7;3
Bloemendaal;G0377;10850;Haarlem;K10;17646;10630;12;9;10609;1903;2926;1005;843;1096;1201;166;494;235;157;120;414;8;10;23;8
Bodegraven-Reeuwijk;G1901;11091;Leiden;K15;26379;12848;29;25;12794;1396;2218;2459;1403;855;698;2291;268;396;345;194;179;38;14;3;37
Boekel;G0755;10432;'s-Hertogenbosch;K18;8204;2939;6;7;2926;366;414;909;331;159;145;15;106;201;102;127;42;0;7;1;1
Bonaire;O9001;10084;Bonaire;K20;12747;1555;4;12;1539;130;81;26;47;56;1016;46;37;15;36;15;13;10;3;2;6
Borger-Odoorn;G1681;10448;Assen;K3;20749;8219;14;19;8186;1903;1156;1127;1087;585;356;434;395;323;334;369;74;3;14;10;16
Borne;G0147;10326;Zwolle;K4;18029;7841;11;17;7813;1435;1167;2240;731;603;460;150;162;253;164;315;78;31;5;13;6
Borsele;G0654;10043;Middelburg;K16;17547;7883;12;11;7860;1103;862;1311;770;398;293;2026;245;320;225;173;94;4;19;5;12
Boxmeer;G0756;11227;'s-Hertogenbosch;K18;23170;10322;18;24;10280;2194;1485;2158;1006;685;528;69;257;548;352;773;163;28;16;13;5
Boxtel;G0757;10083;'s-Hertogenbosch;K18;23576;8736;15;18;8703;1923;1349;1280;773;822;671;90;316;393;281;543;150;75;16;15;6
Breda;G0758;10154;Tilburg;K17;140725;57162;112;117;56933;10287;12062;5958;4974;7119;5620;582;2330;2167;1825;1995;1326;441;101;86;60
Brielle;G0501;10232;Dordrecht;K14;13711;5702;8;12;5682;1050;1101;603;1056;317;337;132;198;338;220;215;86;13;9;3;4
Bronckhorst;G1876;11159;Arnhem;K7;29453;13453;20;16;13417;2290;1925;3967;1295;1012;735;455;447;369;345;376;158;4;12;18;9
Brummen;G0213;10798;Arnhem;K7;16846;6827;19;14;6794;1560;1103;857;700;727;419;186;266;282;243;270;74;78;12;8;9
Brunssum;G0899;10533;Maastricht;K19;22798;7638;21;32;7585;2657;543;668;1200;290;152;151;282;353;743;423;68;12;14;10;19
Bunnik;G0312;10820;Utrecht;K8;11570;6829;13;17;6799;1460;1111;884;418;1218;595;288;250;184;121;101;132;3;11;19;4
Bunschoten;G0313;11343;Utrecht;K8;15818;6635;9;7;6619;370;449;1245;1059;104;74;2713;61;128;226;60;41;23;9;1;56
Buren;G0214;11286;Nijmegen;K6;20865;8781;12;17;8752;1477;1527;1082;1332;515;519;874;357;341;416;164;111;9;9;12;7
Capelle aan den IJssel;G0502;11248;Leiden;K15;50946;19175;41;38;19096;3065;2759;1432;2838;1464;1178;2462;727;1077;834;709;324;130;27;22;48
Castricum;G0383;11287;Den Helder;K11;28583;14846;26;28;14792;3244;2574;1627;1513;1903;1270;202;720;618;335;386;317;12;33;22;16
Coevorden;G0109;10383;Assen;K3;28244;11497;23;23;11451;2562;1945;2089;1401;616;515;440;359;430;424;509;89;5;28;19;20
Cranendonck;G1706;10219;'s-Hertogenbosch;K18;16160;5895;14;17;5864;1160;843;1028;889;267;309;53;178;498;306;207;102;6;8;7;3
Cuijk;G1684;10023;'s-Hertogenbosch;K18;19578;7498;10;22;7466;1574;1082;1199;718;627;511;64;270;413;260;427;131;157;20;11;2
Culemborg;G0216;10342;Nijmegen;K6;21764;9886;13;21;9852;1910;1370;876;1053;1743;812;391;460;353;255;248;192;125;17;27;20
Dalfsen;G0148;11007;Zwolle;K4;22064;10508;11;14;10483;1465;1677;3061;829;578;392;1425;204;309;216;201;97;1;11;4;13
Dantumadiel;G1891;10650;Leeuwarden;K2;14911;5770;6;6;5758;815;499;1155;794;267;147;1366;112;104;206;217;23;2;18;4;29
De Bilt;G0310;10168;Utrecht;K8;32997;18823;26;25;18772;3560;3481;1759;1469;2567;1808;1320;863;483;396;408;534;46;31;25;22
De Fryske Marren;G1940;10022;Leeuwarden;K2;40413;17580;14;34;17532;3483;3288;3327;1991;1165;803;1061;544;501;543;555;187;12;26;21;25
De Ronde Venen;G0736;11379;Utrecht;K8;34226;16413;29;26;16358;2568;3415;2409;2189;1274;1255;903;546;681;473;244;302;33;21;22;23
De Wolden;G1690;10262;Assen;K3;19358;9039;22;19;8998;1706;1787;1730;935;718;444;490;284;290;239;227;111;0;9;14;14
Delft;G0503;10928;Dordrecht;K14;74744;36963;87;101;36775;6465;5013;2588;3070;6937;4728;1349;1489;1112;1022;1076;1329;333;123;97;44
Delfzijl;G0010;10976;Groningen;K1;19727;6182;21;9;6152;1561;559;758;824;323;220;502;209;234;329;469;72;52;14;10;16
Den Helder;G0400;10285;Den Helder;K11;44480;14699;39;23;14637;2909;1998;1427;2841;867;631;730;593;823;949;528;225;24;36;20;36
Deurne;G0762;10379;'s-Hertogenbosch;K18;25536;9238;22;25;9191;1508;1347;1667;941;617;457;69;248;1406;353;414;120;7;18;13;6
Deventer;G0150;10899;Zwolle;K4;76066;33375;67;57;33251;7805;4459;3455;2636;4890;2761;1046;1514;1003;855;1048;742;855;75;70;37
Diemen;G0384;11039;Haarlem;K10;20848;9026;26;12;8988;1977;1135;468;1039;1561;765;170;460;388;262;291;246;132;36;45;13
Dinkelland;G1774;10245;Zwolle;K4;20887;9144;12;10;9122;1112;1276;4375;735;348;352;49;175;187;232;158;88;10;10;11;4
Doesburg;G0221;10327;Arnhem;K7;9034;3674;7;5;3662;950;434;359;430;375;253;75;143;131;122;224;45;103;8;3;7
Doetinchem;G0222;10396;Arnhem;K7;45400;17817;23;35;17759;3913;2406;2702;1913;1628;1186;762;587;679;578;932;243;158;41;15;16
Dongen;G0766;11412;Tilburg;K17;20459;6983;13;25;6945;1504;1179;1084;676;514;519;144;205;374;235;312;99;79;7;11;3
Dordrecht;G0505;11157;Dordrecht;K14;89847;34114;75;66;33973;5892;4441;2890;4031;3499;2148;3658;1701;1484;1454;1267;561;734;79;53;81
Drechterland;G0498;10642;Den Helder;K11;15148;6625;13;13;6599;1182;1223;933;919;436;318;78;200;774;226;187;85;4;15;12;7
Drimmelen;G1719;10258;Tilburg;K17;21700;8018;18;10;7990;1540;1514;1173;1023;549;496;81;304;478;390;314;101;3;8;9;7
Dronten;G0303;10210;Lelystad;K5;30667;13322;25;23;13274;1905;2364;2419;1758;892;568;1297;350;545;469;418;142;91;13;19;24
Druten;G0225;10068;Nijmegen;K6;14843;5474;17;12;5445;1239;938;752;667;370;347;42;180;325;202;252;76;43;4;6;2
Duiven;G0226;11028;Arnhem;K7;20076;7938;16;20;7902;1639;1476;1055;955;716;500;180;270;388;252;313;117;14;11;10;6
