RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Democraten 66 (D66);CDA;PVV (Partij voor de Vrijheid);VVD;SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);ChristenUnie-SGP;GROENLINKS;Partij voor de Dieren;50PLUS;Piratenpartij;Artikel50;Anti  EU(ro)  Partij;De Groenen;JEZUS LEEFT;ikkiesvooreerlijk.eu;Liberaal Democratische Partij;Aandacht en Eenvoud;IQ, de Rechten-Plichten-Partij
Zaanstad;G0479;11044;Den Helder;K11;112780;36358;109;129;36120;5217;3188;5859;3726;4859;4321;1138;2725;2336;1713;418;192;112;77;67;54;68;37;13
Zaltbommel;G0297;10557;Nijmegen;K6;19974;8367;24;25;8318;951;973;897;859;606;571;2394;395;243;226;42;48;23;14;19;4;45;6;2
Zandvoort;G0473;10910;Haarlem;K10;13281;5020;18;15;4987;781;457;998;943;309;378;49;196;374;354;30;44;29;13;4;5;15;4;4
Zederik;G0707;10618;Dordrecht;K14;10422;5132;5;10;5117;276;1164;492;485;210;361;1775;110;93;99;15;8;9;5;10;1;3;1;0
Zeevang;G0478;11121;Den Helder;K11;4906;2210;8;10;2192;333;227;361;418;169;220;32;170;127;82;11;10;12;6;5;1;4;2;2
Zeewolde;G0050;10012;Lelystad;K5;15222;6393;13;18;6362;869;1032;870;1018;447;364;959;242;230;163;51;36;14;15;30;6;12;2;2
Zeist;G0355;10324;Utrecht;K8;45992;21079;32;54;20993;4222;2397;2154;3342;1396;1767;1643;2076;990;499;165;138;42;71;21;28;28;11;3
Zevenaar;G0299;10938;Arnhem;K7;25751;8808;18;22;8768;1289;1744;1162;1056;1064;957;139;391;316;441;67;32;28;43;6;9;7;6;11
Zoetermeer;G0637;10766;Leiden;K15;94847;33729;59;128;33542;5824;3281;6303;4186;3309;3151;1944;1589;1663;1266;321;269;115;55;85;32;34;106;9
Zoeterwoude;G0638;11074;Leiden;K15;6397;2796;5;12;2779;442;669;313;331;185;241;97;187;130;128;31;4;4;9;2;2;1;0;3
Zuidhorn;G0056;10021;Groningen;K1;14033;7076;6;33;7037;804;1401;371;532;557;702;1516;675;238;116;39;24;10;19;18;6;6;1;2
Zuidplas;G1892;10855;Leiden;K15;31077;12615;16;38;12561;1666;1642;1633;1837;1072;756;2468;390;486;337;85;62;20;13;56;15;15;7;1
Zundert;G0879;11192;Tilburg;K17;16439;5013;15;9;4989;535;1357;818;879;417;263;41;135;163;290;18;28;11;7;17;1;6;1;2
Zutphen;G0301;10254;Arnhem;K7;36319;15063;26;47;14990;2736;1549;1213;1366;2011;1828;586;1810;1004;524;121;51;32;68;23;29;20;13;6
Zwartewaterland;G1896;10746;Zwolle;K4;15906;7195;16;10;7169;312;1437;572;398;381;395;3292;107;83;110;16;17;9;2;21;2;11;2;2
Zwijndrecht;G0642;10468;Dordrecht;K14;34645;11955;35;46;11874;1300;1650;2114;1276;1015;902;2019;389;451;479;75;65;33;15;55;19;11;5;1
Zwolle;G0193;10093;Zwolle;K4;94218;39013;57;134;38822;6407;4570;2854;3603;3713;4787;6301;3429;1504;722;357;171;83;101;95;47;42;20;16
